State,Tested,Infected,Deaths,Population,Pop Density,Gini,ICU Beds,Income,GDP,Unemployment,Sex Ratio,Smoking Rate,Flu Deaths,Respiratory Deaths,Physicians,Hospitals,Health Spending,Pollution,Med-Large Airports,Temperature,Urban,Age 0-25,Age 26-54,Age 55+,School Closure Date
North Dakota,3724,98,1.0,761723,11.0393,0.4533,238,54306,72597,2.2,1.0416197975253094,18.3,15.6,34.9,2015,39,9851,4.6,0.0,40.4,59.9,0.35,0.37,0.28,03/16/20
Nebraska,2345,120,2.0,1952570,25.4161,0.4477,440,52110,63942,2.9,0.9923917702528933,15.4,16.1,47.7,5627,93,8412,7.1,1.0,48.8,73.1,0.35,0.37,0.29000000000000004,
New Hampshire,5252,258,3.0,1371246,153.1605,0.4304,242,61405,63067,2.6,0.9839375860486461,15.7,14.3,40.9,4240,28,9589,4.4,0.0,43.8,60.3,0.28,0.37,0.33999999999999997,03/16/20
New Jersey,35602,13386,161.0,8936574,1215.1991,0.4813,1822,67609,69378,3.8,0.9466984358108853,13.7,12.6,28.0,30502,82,8859,8.1,1.0,52.7,94.7,0.31,0.38,0.30000000000000004,03/18/20
New Mexico,11179,237,2.0,2096640,17.285,0.4769,340,41198,46954,4.8,0.9722275982194697,17.5,14.2,43.0,5830,41,7214,6.0,1.0,53.4,77.4,0.32999999999999996,0.36,0.31,03/16/20
Nevada,11000,920,15.0,3139658,28.5993,0.4577,900,48225,55269,3.6,0.9881249578301059,17.6,16.0,49.3,6151,44,6714,9.0,1.0,49.9,94.2,0.32,0.4,0.29000000000000004,03/16/20
New York,65589,59513,672.0,19440469,412.5211,0.5229,3952,68667,85746,3.7,0.9375570512884814,14.1,18.4,28.5,89500,166,9778,6.6,3.0,45.4,87.9,0.31,0.39,0.30000000000000004,03/18/20
Ohio,1793,1653,29.0,11747694,287.5038,0.468,3314,48242,57492,4.1,0.9502936566714317,21.1,15.7,49.0,42373,194,8712,8.5,3.0,50.7,77.9,0.32,0.37,0.31000000000000005,03/17/20
Oklahoma,1636,431,16.0,3954821,57.6547,0.4645,1064,46128,50613,3.2,0.957441333882256,20.1,17.8,63.5,9472,125,7627,8.2,0.0,59.6,66.2,0.35,0.37,0.29000000000000004,03/17/20
Oregon,11426,548,13.0,4301089,44.8086,0.4583,659,49908,56956,3.3,0.9762634369375942,16.1,10.2,35.6,12149,61,8044,7.8,1.0,48.4,81.0,0.3,0.39,0.31,03/16/20
Pennsylvania,33455,3394,38.0,12820878,286.5449,0.4689,3169,55349,61594,4.7,0.9542091897092922,18.7,15.5,35.1,51069,199,9258,9.2,2.0,48.8,78.7,0.3,0.37,0.32,03/16/20
Rhode Island,3134,294,3.0,1056161,1021.4323,0.4781,279,54523,57852,3.4,0.9428188946261236,14.9,13.3,31.2,4988,11,9551,7.3,0.0,50.1,90.7,0.29000000000000004,0.39,0.32,03/16/20
South Carolina,4361,774,16.0,5210095,173.3174,0.4735,1225,42736,45280,2.5,0.9231468669697569,18.8,14.5,45.8,12847,69,7311,7.4,0.0,62.4,66.3,0.32,0.36,0.32,03/16/20
South Dakota,3217,90,1.0,903027,11.9116,0.4495,152,50141,58624,3.3,1.0062320230105466,19.3,20.7,43.7,2041,57,8933,5.1,0.0,45.2,56.7,0.35,0.35,0.30000000000000004,03/16/20
Tennessee,20574,1537,7.0,6897576,167.2748,0.479,2209,47179,53933,3.4,0.9381632774055849,22.6,20.7,55.9,18979,115,7372,7.4,1.0,57.6,66.4,0.32999999999999996,0.38,0.29000000000000004,03/20/20
Texas,25483,2552,34.0,29472295,112.8204,0.48,6199,49161,61167,3.5,0.9695945464139534,15.7,12.9,39.7,64602,523,6998,8.3,6.0,64.8,84.7,0.36,0.39,0.24,03/23/20
Utah,13993,719,2.0,3282115,39.943,0.4063,565,45340,55550,2.5,1.0073776431065147,8.9,13.4,33.2,6761,54,5982,8.4,1.0,48.6,90.6,0.42,0.37,0.21000000000000002,03/16/20
Virginia,12038,1020,25.0,8626207,218.4403,0.4705,1654,56952,62563,2.6,0.9365558912386707,16.4,13.1,34.7,23307,96,7556,6.9,2.0,55.1,75.5,0.32999999999999996,0.38,0.29000000000000004,03/16/20
Vermont,3701,235,12.0,628061,68.1416,0.4539,94,53598,53523,2.4,0.9717477003942181,15.8,9.8,39.6,2338,14,10190,5.1,0.0,42.9,38.9,0.27,0.36,0.36,03/18/20
Washington,65462,4896,195.0,7797095,117.3272,0.4591,1265,60781,74182,3.8,0.9834525081504616,13.5,10.9,34.5,22036,92,7913,8.0,1.0,48.3,84.1,0.31,0.4,0.29000000000000004,03/17/20
Wisconsin,17662,1112,13.0,5851754,108.0497,0.4498,1159,50756,57720,3.5,0.9795832456324984,16.0,14.1,37.8,17695,133,8702,6.8,1.0,43.1,70.2,0.32,0.37,0.31000000000000005,03/18/20
West Virginia,3108,124,1.0,1778070,73.9691,0.4711,653,40578,43053,4.9,0.9607210415043952,26.0,21.2,64.3,5685,56,9462,7.6,0.0,51.8,48.7,0.29,0.36,0.35,03/16/20
Wyoming,1641,87,0.0,567025,5.84,0.436,102,60095,69900,3.7,1.0357788218286954,18.7,18.9,58.7,1172,29,8320,5.0,0.0,42.0,64.8,0.32,0.36,0.31000000000000005,03/20/20
